period,name,summary
1,EUR/USD,STRONG SELL
2678400,NZD/USD,STRONG SELL
1,NZD/USD,SELL
1,USD/CAD,NEUTRAL
604800,NZD/USD,STRONG SELL
1,GBP/USD,STRONG SELL
1,AUD/USD,NEUTRAL
1440,NZD/USD,STRONG SELL
1,EUR/CHF,STRONG BUY
1,EUR/JPY,STRONG BUY
1440,USD/CAD,STRONG BUY
2678400,USD/CAD,STRONG BUY
1,USD/JPY,STRONG BUY
1,USD/RUB,STRONG SELL
1,EUR/CAD,SELL
1,USD/HKD,STRONG BUY
1,GBP/JPY,STRONG BUY
1,EUR/AUD,STRONG SELL
1440,AUD/CHF,STRONG SELL
1,CHF/JPY,STRONG SELL
604800,USD/CAD,STRONG BUY
300,AUD/CHF,STRONG SELL
604800,AUD/CHF,STRONG SELL
60,AUD/CHF,STRONG SELL
30,AUD/CHF,STRONG SELL
2678400,AUD/CHF,STRONG SELL
5,AUD/CHF,NEUTRAL
1,AUD/CHF,STRONG BUY
15,AUD/CHF,STRONG SELL
604800,EUR/CAD,STRONG BUY
60,EUR/CAD,STRONG SELL
5,EUR/CAD,STRONG BUY
15,EUR/CAD,BUY
300,EUR/CAD,STRONG SELL
30,EUR/CAD,NEUTRAL
2678400,GBP/JPY,STRONG BUY
604800,GBP/JPY,STRONG SELL
1440,EUR/CAD,NEUTRAL
60,GBP/JPY,STRONG SELL
30,GBP/JPY,STRONG SELL
1440,GBP/JPY,STRONG SELL
300,GBP/JPY,STRONG SELL
15,GBP/JPY,SELL
5,GBP/JPY,NEUTRAL
2678400,EUR/CAD,STRONG BUY
604800,EUR/AUD,STRONG BUY
1440,EUR/AUD,STRONG BUY
30,EUR/AUD,STRONG BUY
2678400,EUR/AUD,STRONG BUY
300,EUR/AUD,STRONG BUY
15,EUR/AUD,STRONG BUY
2678400,USD/RUB,STRONG BUY
300,USD/RUB,STRONG BUY
5,EUR/AUD,BUY
60,EUR/AUD,STRONG BUY
1440,USD/RUB,STRONG BUY
15,USD/RUB,NEUTRAL
604800,USD/RUB,STRONG BUY
5,USD/RUB,STRONG SELL
30,USD/RUB,BUY
2678400,USD/HKD,STRONG SELL
1440,USD/HKD,STRONG SELL
300,USD/HKD,STRONG SELL
15,USD/HKD,NEUTRAL
30,USD/HKD,NEUTRAL
60,USD/RUB,STRONG BUY
2678400,CHF/JPY,NEUTRAL
5,USD/HKD,BUY
300,CHF/JPY,STRONG SELL
604800,USD/HKD,STRONG SELL
604800,CHF/JPY,STRONG SELL
15,CHF/JPY,STRONG SELL
1440,CHF/JPY,STRONG SELL
30,CHF/JPY,STRONG SELL
5,CHF/JPY,NEUTRAL
604800,AUD/JPY,STRONG SELL
60,CHF/JPY,STRONG SELL
2678400,AUD/JPY,STRONG SELL
60,AUD/JPY,STRONG SELL
300,AUD/JPY,STRONG SELL
1440,AUD/JPY,STRONG SELL
30,AUD/JPY,STRONG SELL
1,AUD/JPY,STRONG BUY
5,AUD/JPY,NEUTRAL
2678400,EUR/GBP,STRONG SELL
60,USD/HKD,SELL
300,EUR/GBP,SELL
30,EUR/GBP,NEUTRAL
15,EUR/GBP,NEUTRAL
1440,EUR/GBP,STRONG BUY
15,AUD/JPY,STRONG SELL
2678400,USD/JPY,STRONG BUY
604800,USD/JPY,SELL
5,EUR/GBP,SELL
1,EUR/GBP,STRONG SELL
1440,USD/JPY,STRONG SELL
15,USD/JPY,STRONG BUY
5,USD/JPY,STRONG BUY
300,USD/JPY,STRONG SELL
