,displayName,instrument,maxTradeUnits,pip
0,AUD/CAD,AUD_CAD,10000000,0.0001
1,AUD/CHF,AUD_CHF,10000000,0.0001
2,AUD/HKD,AUD_HKD,10000000,0.0001
3,AUD/JPY,AUD_JPY,10000000,0.01
4,AUD/NZD,AUD_NZD,10000000,0.0001
5,AUD/SGD,AUD_SGD,10000000,0.0001
6,AUD/USD,AUD_USD,10000000,0.0001
7,CAD/CHF,CAD_CHF,10000000,0.0001
8,CAD/HKD,CAD_HKD,10000000,0.0001
9,CAD/JPY,CAD_JPY,10000000,0.01
10,CAD/SGD,CAD_SGD,10000000,0.0001
11,CHF/HKD,CHF_HKD,10000000,0.0001
12,CHF/JPY,CHF_JPY,10000000,0.01
13,CHF/ZAR,CHF_ZAR,10000000,0.0001
14,EUR/AUD,EUR_AUD,10000000,0.0001
15,EUR/CAD,EUR_CAD,10000000,0.0001
16,EUR/CHF,EUR_CHF,10000000,0.0001
17,EUR/CZK,EUR_CZK,10000000,0.0001
18,EUR/DKK,EUR_DKK,10000000,0.0001
19,EUR/GBP,EUR_GBP,10000000,0.0001
20,EUR/HKD,EUR_HKD,10000000,0.0001
21,EUR/HUF,EUR_HUF,10000000,0.01
22,EUR/JPY,EUR_JPY,10000000,0.01
23,EUR/NOK,EUR_NOK,10000000,0.0001
24,EUR/NZD,EUR_NZD,10000000,0.0001
25,EUR/PLN,EUR_PLN,10000000,0.0001
26,EUR/SEK,EUR_SEK,10000000,0.0001
27,EUR/SGD,EUR_SGD,10000000,0.0001
28,EUR/TRY,EUR_TRY,10000000,0.0001
29,EUR/USD,EUR_USD,10000000,0.0001
30,EUR/ZAR,EUR_ZAR,10000000,0.0001
31,GBP/AUD,GBP_AUD,10000000,0.0001
32,GBP/CAD,GBP_CAD,10000000,0.0001
33,GBP/CHF,GBP_CHF,10000000,0.0001
34,GBP/HKD,GBP_HKD,10000000,0.0001
35,GBP/JPY,GBP_JPY,10000000,0.01
36,GBP/NZD,GBP_NZD,10000000,0.0001
37,GBP/PLN,GBP_PLN,10000000,0.0001
38,GBP/SGD,GBP_SGD,10000000,0.0001
39,GBP/USD,GBP_USD,10000000,0.0001
40,GBP/ZAR,GBP_ZAR,10000000,0.0001
41,HKD/JPY,HKD_JPY,10000000,0.0001
42,NZD/CAD,NZD_CAD,10000000,0.0001
43,NZD/CHF,NZD_CHF,10000000,0.0001
44,NZD/HKD,NZD_HKD,10000000,0.0001
45,NZD/JPY,NZD_JPY,10000000,0.01
46,NZD/SGD,NZD_SGD,10000000,0.0001
47,NZD/USD,NZD_USD,10000000,0.0001
48,SGD/CHF,SGD_CHF,10000000,0.0001
49,SGD/HKD,SGD_HKD,10000000,0.0001
50,SGD/JPY,SGD_JPY,10000000,0.01
51,TRY/JPY,TRY_JPY,10000000,0.01
52,USD/CAD,USD_CAD,10000000,0.0001
53,USD/CHF,USD_CHF,10000000,0.0001
54,USD/CNH,USD_CNH,10000000,0.0001
55,USD/CZK,USD_CZK,10000000,0.0001
56,USD/DKK,USD_DKK,10000000,0.0001
57,USD/HKD,USD_HKD,10000000,0.0001
58,USD/HUF,USD_HUF,10000000,0.01
59,USD/JPY,USD_JPY,10000000,0.01
60,USD/MXN,USD_MXN,10000000,0.0001
61,USD/NOK,USD_NOK,10000000,0.0001
62,USD/PLN,USD_PLN,10000000,0.0001
63,USD/SAR,USD_SAR,10000000,0.0001
64,USD/SEK,USD_SEK,10000000,0.0001
65,USD/SGD,USD_SGD,10000000,0.0001
66,USD/THB,USD_THB,10000000,0.01
67,USD/TRY,USD_TRY,10000000,0.0001
68,USD/ZAR,USD_ZAR,10000000,0.0001
69,ZAR/JPY,ZAR_JPY,10000000,0.01
