,BNP.AUDUSD - AUD/USD_x,BNP.EURAUD - EUR/AUD_x,BNP.EURCAD - EUR/CAD_x,BNP.EURCHF - EUR/CHF_x,BNP.EURCZK - EUR/CZK_x,BNP.EURDKK - EUR/DKK_x,BNP.EURGBP - EUR/GBP_x,BNP.EURHKD - EUR/HKD_x,BNP.EURHUF - EUR/HUF_x,BNP.EURJPY - EUR/JPY_x,BNP.EURNOK - EUR/NOK_x,BNP.EURNZD - EUR/NZD_x,BNP.EURPLN - EUR/PLN_x,BNP.EURSEK - EUR/SEK_x,BNP.EURSGD - EUR/SGD_x,BNP.EURTRY - EUR/TRY_x,BNP.EURUSD - EUR/USD_x,BNP.EURZAR - EUR/ZAR_x,BNP.GBPUSD - GBP/USD_x,BNP.NZDUSD - NZD/USD_x,BNP.USDCAD - USD/CAD_x,BNP.USDCHF - USD/CHF_x,BNP.USDCNH - USD/CNH_x,BNP.USDCZK - USD/CZK_x,BNP.USDDKK - USD/DKK_x,BNP.USDHKD - USD/HKD_x,BNP.USDHUF - USD/HUF_x,BNP.USDJPY - USD/JPY_x,BNP.USDMXN - USD/MXN_x,BNP.USDNOK - USD/NOK_x,BNP.USDPLN - USD/PLN_x,BNP.USDSAR - USD/SAR_x,BNP.USDSEK - USD/SEK_x,BNP.USDSGD - USD/SGD_x,BNP.USDTHB - USD/THB_x,BNP.USDTRY - USD/TRY_x,BNP.USDZAR - USD/ZAR_x
299999,0.011014765246627829,0.2301345007077032,0.04056953191525504,0.034703846118642565,-0.016931719474678072,-0.0030499704656128746,0.03982975607093362,0.018494851685536124,0.03004275304485315,0.5190988574939978,-0.0007116769431759866,-0.07150504024148566,0.0402246069895752,0.012315366811765479,0.002456256179237636,-0.001962712810015409,0.2322274696838898,-0.04179513707256148,0.022466063709662767,0.026914676936519603,0.037997719986126624,-0.001999321617700462,-0.00019403262205196573,-0.08805099604796829,-0.12766926043672208,0.0037992507585037022,0.01508688743956588,0.07888281177983106,0.002051131530965003,-0.05261850354777578,-0.00812862610023888,-0.0053860595465571575,0.034434990793087365,-0.14360434407878353,0.010435096413958532,0.04907673439454853,0.052166638662908736
475466,0.3170379623432321,-0.0619226382814908,0.03365315323623694,-0.12578374243971627,-0.10577766742725273,0.2170504966290292,0.05367842899822255,-0.017213999015174487,0.3651029944242021,0.0392356418186268,0.008555624038115306,0.16558984192999074,0.06117406931194089,-0.09170517993281056,0.03264841823905447,0.28863059218530884,-0.05167397349780704,-0.11839006911063485,-0.005442938023238761,0.16534899851962778,-0.07787696195379251,0.04937002057206648,-0.05244495781029534,-0.43402191532580414,0.1729802843798868,0.015383962671028276,-0.02432132672684377,-0.030618560153852708,0.02981093489720868,-0.5333228257663785,0.37310991594240667,0.04789176770245068,-0.17428924374952035,-0.1810793796249927,0.083714847698063,-0.0378424100782014,0.26718794110406696
482820,0.10450333648297083,0.17821980783112648,0.12859115638958996,-0.05553524201734885,-0.07669536344862551,0.15938350084018585,0.08211042074606664,0.09772894588783634,0.10478744301453607,0.048743421266446985,-0.007521395670770163,0.10745887684627264,0.06146356641093027,-0.07434370695656929,0.08584329918285982,0.21758923564899305,0.1611446916703131,-0.14934443577731274,0.023489103003817145,0.20187094379856754,-0.1486697461181974,0.038766877428919023,-0.07587563759783336,-0.3667890738990425,0.1777787158453467,0.024307488644499744,-0.12235070537355022,-0.04097234464297885,-0.009173040957842262,-0.4931764197284746,0.35705166172363983,0.07645233162677187,-0.10760862155463076,-0.07108066398135271,0.08863011043502553,-0.11581004304619227,0.2663590444705689
623184,0.2131668302581236,-0.07351548069686521,0.023360095994049455,-0.08208811658147255,-0.06514610678787967,0.2411355117143075,0.0463747963329799,0.020414420570846144,0.387242580002614,0.07102009237374665,-0.09750551077691072,0.228619038600314,0.0541785734861476,-0.11416925529415504,0.015278923604620112,0.3122327024750223,0.07613621804968572,-0.2478220487809477,0.019304185175657858,0.16104718497388976,-0.14414339620242328,0.0364636608607694,-0.05257194606659761,-0.4971785454596828,0.3487245583288073,0.015379729932500613,-0.09653856450050337,0.09043729668457873,0.03613045607072322,-0.6703160426420789,0.4657021719628922,0.05485396734976968,-0.11966791704485585,-0.1916757542377836,0.07568980217407413,-0.1843663681416893,0.4074879002896619
690270,0.1725428824376906,-0.027550581409016558,0.05814381597807336,-0.07596238994212769,-0.05219360911941368,0.25211926571058385,0.049149446519102434,0.051886540749089376,0.29426950554968645,0.09108936279701067,-0.10589279595019252,0.2122924710074388,0.05584111526986276,-0.11499069496445698,0.01670629157234617,0.3189772773955145,0.14383238052766306,-0.3095265471257005,0.040421314510604635,0.17297852268823072,-0.16580762570583868,0.030682442967187293,-0.05728779743433845,-0.516682692197539,0.3850939867919256,0.016953661008881772,-0.15071038387384947,0.08226961020218097,0.02764932296002349,-0.6516494989189089,0.4659958482081965,0.05643541144693159,-0.08753627671651583,-0.16466967108657413,0.06280297401740897,-0.2547742641170592,0.4810609663559925
720588,0.09360984748461257,0.04435886910657074,0.06840450379989275,0.0211146355661296,0.015564170499014396,0.17341711954222355,0.0018913194261460668,0.12869678804453755,0.26145587100228984,0.07473293495431485,-0.03773028768685891,0.18572020961664887,0.04147562990494029,-0.08322198673885728,0.03144153038554181,0.24838780048829764,0.2060422904552386,-0.3802333928516929,0.0799370996814869,0.13462760731874324,-0.12779763289039275,-0.008869523478179889,-0.02407977910824876,-0.444207735039396,0.29991639072090737,-0.0028544642654258594,-0.1773576516319697,0.03604685405282143,0.0255575350042151,-0.4609127118561264,0.3303432669447265,0.02364540653277495,0.021095607869756068,-0.10352161518904236,-0.03437730973245731,-0.24909473108973945,0.4766660697506403
1340650,0.06931889703522505,0.049472480625763794,0.03837918365685987,-0.014187972941243512,0.011799022585471315,0.08757264006355069,0.0042412637992668405,0.03234560825735708,0.5674252786031181,0.008518493911302577,-0.050520603835652274,0.11958806797154076,0.008075176975181744,-0.000768534874538549,-0.07130631340797082,0.287593847227688,0.12990555096716522,-0.29944854247785085,0.019697686568513683,0.023032492228219542,-0.0017902459846762336,-0.005984932944446386,-0.010052208989618384,-0.2216910091442478,0.1400921321002843,0.0001519142963407817,-0.002372055320507645,0.04807453898942808,3.2211318511115214e-07,-0.24626367011394024,-0.007067645147890773,0.0004154907694275534,0.2192195087915144,-0.179244433469554,0.011570103971194094,-0.1842007208038849,0.3461905105516576
1556630,0.16749994352602626,0.06212518310999283,0.04651555036398687,-0.004986047398396037,0.012157036518336195,0.07873342465696437,0.0046400285895159075,0.02940634154743452,0.47006343640502507,0.015899279752562303,-0.06669588139661142,0.08901190163140786,0.005917853574122214,0.0013829967011056387,-0.0752823538782883,0.2946809942212912,0.13518717338554678,-0.3104665821444921,0.017781266654951375,0.01699213402272338,0.00518724995130782,-0.010263476789334796,-0.0075542800901617175,-0.19649950440365188,-0.0007963963072595164,-0.0011039954533016876,-0.031775239442199524,0.0682296519670602,-0.0010694608662361533,-0.17022572370945122,-0.010471095342949705,-0.005120142500015382,0.2194323112974716,-0.1834278421848505,0.004680522414773045,-0.1828836008981378,0.34346062626686485
1561351,0.11904809915089976,0.1753405551823322,0.17255339360922567,0.016414665743193328,0.07449864613232669,0.06471812703707787,0.03284723154334079,0.1356320055332355,0.17072876450170227,0.06841012920727649,-0.030516979770245208,0.006784561821415126,0.020940022482080628,0.009585672592291206,-0.00489107989224291,0.12204405622765944,0.24142584373435844,-0.3274686913954753,0.0350146779591962,0.11998443899137287,-0.04535195913389738,-0.03598058558683812,-0.024486632057073986,-0.20246101809511016,-0.009482992658574912,0.012369108540682627,-0.1776095815373962,0.017885571664939884,0.016270115318836074,-0.1404915115738154,-0.017881782468490773,0.01356336967799658,0.21614575575447734,-0.08821729871659431,0.02144308961132899,-0.2212886115293201,0.3149909326646229
1569903,0.11004106410256588,0.15262272521038572,0.185364971579489,0.0590020233586292,0.06443337219038886,0.07270091554460614,0.01886762588880676,0.11256167041223547,0.2436329780206649,0.0701470215618714,-0.0012307695317658866,-0.00905784264278805,0.021553324577632097,-0.0011401251651176696,-0.0208708252475558,0.10369813212895153,0.13460789302707793,-0.31635050077744725,0.04987259999917209,0.1347385456372492,-0.09313977644803967,-0.03233451055061942,-0.031487692648232264,-0.20405821128437365,-0.0008948910460853182,0.008721337759623504,-0.1748214096541712,-0.01941879139748573,0.0308716264721834,-0.11352144666968965,-0.004122405435444894,-0.011677770345901152,0.225813005305252,-0.04292399421765677,0.004699655758612615,-0.18834273882393107,0.3437654414943633
