,BNP.AUDUSD - AUD/USD_x,BNP.EURAUD - EUR/AUD_x,BNP.EURCAD - EUR/CAD_x,BNP.EURCHF - EUR/CHF_x,BNP.EURCZK - EUR/CZK_x,BNP.EURDKK - EUR/DKK_x,BNP.EURGBP - EUR/GBP_x,BNP.EURHKD - EUR/HKD_x,BNP.EURHUF - EUR/HUF_x,BNP.EURJPY - EUR/JPY_x,BNP.EURNOK - EUR/NOK_x,BNP.EURNZD - EUR/NZD_x,BNP.EURPLN - EUR/PLN_x,BNP.EURSEK - EUR/SEK_x,BNP.EURSGD - EUR/SGD_x,BNP.EURTRY - EUR/TRY_x,BNP.EURUSD - EUR/USD_x,BNP.EURZAR - EUR/ZAR_x,BNP.GBPUSD - GBP/USD_x,BNP.NZDUSD - NZD/USD_x,BNP.USDCAD - USD/CAD_x,BNP.USDCHF - USD/CHF_x,BNP.USDCNH - USD/CNH_x,BNP.USDCZK - USD/CZK_x,BNP.USDDKK - USD/DKK_x,BNP.USDHKD - USD/HKD_x,BNP.USDHUF - USD/HUF_x,BNP.USDJPY - USD/JPY_x,BNP.USDMXN - USD/MXN_x,BNP.USDNOK - USD/NOK_x,BNP.USDPLN - USD/PLN_x,BNP.USDSAR - USD/SAR_x,BNP.USDSEK - USD/SEK_x,BNP.USDSGD - USD/SGD_x,BNP.USDTHB - USD/THB_x,BNP.USDTRY - USD/TRY_x,BNP.USDZAR - USD/ZAR_x
135351,-0.04402338293200669,0.21773602616205245,0.24098181884090555,-0.009813295008729177,0.2366421258579281,0.016425048583776206,-0.037488335502521,0.1322698570613924,-0.16955341833576776,0.06419577513461629,0.3021432767525861,0.00048747106511041815,0.2663795527889941,-0.10860779920439803,-0.14291794884423836,-0.12174033947444768,0.24401429748412345,0.12697745521709122,0.05645731322026864,0.3128185268902961,-0.010304023378288774,-0.5369811490056721,-0.05452454741239388,-0.2086971605047144,0.09419692582279596,-0.00033707764905711917,-0.11795302462171295,-0.15378860681684972,0.18655516591183047,0.09184546336640052,0.1879699156618944,-0.004802215852586196,0.2234935725828792,0.1572104511064498,0.02024679901437541,-0.3024873435170866,-0.11960911405374892
187933,0.08140130594877759,0.2466812749993128,0.03404012629059172,-0.12549539356816766,-0.014719984014224018,-0.1834771045350144,-0.055479229690880164,0.17561192624156385,0.08887888205026401,0.15797356244486174,0.2669854153086894,0.2242455591007176,0.11544693590849125,-0.015484073752313166,-0.17900711327200133,-0.24092492439985475,0.3343422273316065,0.2512436817214561,-0.10779598962679128,0.11029055895343892,-0.0949386644341673,-0.26429718377194944,-0.11852066696844382,-0.07341611690186578,0.13715854298496793,-0.03915032624612271,-0.2227582831695536,-0.10658015952493674,0.17157618328147575,0.06110359280388423,0.009961612244534115,0.00461782742556474,0.15763578996377556,0.2241286723442084,0.16335986914227196,-0.13778408614283058,-0.13645181381533586
237440,-0.07628494403271817,0.237907581067118,0.18752834141652505,0.032888811034889866,0.16183117675327202,-0.09182510079493067,-0.052368620139474915,0.16281907978706656,-0.006608659707804564,0.09699396455544858,0.3814760021598656,0.05930536096422601,0.2098704603707412,-0.0343622173808093,-0.14876725465500729,-0.1549536465436636,0.11064161833403344,0.22546770672138045,-0.008103743878189757,0.2356547296524895,-0.1205714701542848,-0.4069918463803986,-0.08494438300830147,-0.11544505542302347,0.2014950565252508,-0.0009119453388155326,-0.16265480421323014,-0.1944640784024737,0.20398785263548025,-0.01660970769432733,0.102408019749475,-0.0012990722105752012,0.17198217108757985,0.2538207485280767,0.06622486705027263,-0.12388368427627673,-0.2388313447094681
310600,-0.08719802230858256,0.14779424436406946,0.148935588373165,0.07055138453977114,0.2362363526822068,-0.025280901074587005,-0.05471335632739048,0.18218763886178668,-0.023589972898200882,0.0775924876140118,0.3585850521798585,0.14469903065134904,0.2460485349444086,-0.07318647762432265,-0.1831489943915072,-0.14103729360884984,0.11988149983710818,0.2252966576679348,0.04730382081860237,0.2868052643098975,-0.17119971947587104,-0.471347734777522,-0.09257697786817866,-0.202120333323404,0.2553558295666212,0.0073450950833995185,-0.14070908437641538,-0.1900227753019517,0.2128733029012737,-0.12758068242377335,0.16954267916961868,-0.0024321016519224282,0.26789044624575065,0.2761592151322628,0.037590631494593685,-0.1981359469360381,-0.2609788234338497
350429,-0.06551957000627404,0.08676630460123197,0.08582309705675137,0.08952660801008977,0.2573589862474431,-0.0016809825702374544,-0.0558860447227213,0.15727952659377242,0.035393619700413936,0.06349542868291655,0.34815743011321826,0.2082047447738094,0.27459928508435993,-0.05871526209196839,-0.20618919011819992,-0.15192533540065914,0.08845029697788577,0.2356987092336117,0.03074282620260893,0.29990669740750275,-0.20772771073908272,-0.5024238926913169,-0.09565751873607307,-0.24564404956361804,0.3128491227119068,0.006808053787984486,-0.12040018657244846,-0.18683611678176013,0.2143663226632232,-0.20359601035325028,0.13471914209320146,-0.0011491842947673016,0.31940157050704315,0.2978366788297169,0.042709823833379484,-0.16757391679590775,-0.2677254577406135
704256,-0.3168904247198355,0.16184839846679774,0.11961338096363346,-0.054464224874004576,0.21355596183345515,0.020046995374192314,-0.03337299635965822,0.18176106940877745,-0.14217786390813236,0.1112971883819657,0.3104618913162806,0.2069135505248889,0.575937177557275,-0.2172588343204494,-0.22781200940919644,-0.2013771872098683,0.4496759100268481,0.16337943422726198,0.05331831495446819,0.584372636390169,-0.008213020979304575,-0.4582669515117788,-0.07977012078984938,-0.30447107241881405,0.028906276990548777,0.0028286908505674,-0.20610941967775034,-0.1634829790462579,0.19691792403302014,-0.225427681194424,0.4657639949393559,-0.002463303801328546,0.40786094501432624,0.3573619246792256,0.03018185664626685,-0.5307358267244847,-0.1688408447610819
2029892,-0.4119375553942817,0.1328296796929419,0.08402716389202428,-0.278078942520895,0.21385451851567594,0.015894966249150804,-0.011885418894412029,0.15908893458606269,-0.5385012025345163,0.12442022868102935,0.3081831017734452,0.1909651888886634,1.1030737343993744,-0.3413666512562229,-0.20461299202367664,-0.15691746910087115,0.7090684337594741,-0.09197663445522676,0.05031544920187503,1.086962578664721,0.28491742109711604,-0.4689662482244679,-0.0526305023586188,-0.2544745527343827,-0.5988703223701343,0.005598649456709921,-0.2386064345151691,-0.1604282050026467,0.16589453275018132,-0.22422220060589126,0.7539324701668891,-0.0019360165806697805,0.4023776839228885,0.26406881622043965,0.036101077222755316,-0.7913011587205796,0.12864752940457538
2070793,-0.13121320168536496,-0.04796684175616078,-0.039908483912490016,-0.11172042517622006,0.27597874935966743,-0.07343968433947617,-0.04332417239622802,0.15909179167205886,-0.16033346275079569,0.015467658884369306,0.4248945172108473,0.2335558355041136,0.6638333974804159,-0.06031388107513004,-0.2970867915576006,-0.16691552962290002,0.39102173970407583,-0.06342259285626017,0.04964936748169558,0.7375799108228187,0.07786393875613881,-0.5362540013813997,-0.06443738849289303,-0.08262916897257158,-0.4132385230037132,0.00995741588754832,-0.05371219010936571,-0.22201678075245945,0.19460707680868514,-0.2669054749742241,0.24258373207425465,0.00023350527044107896,0.5480729964047503,0.2879033963602307,0.05145268829610588,-0.4714714319179584,0.06694948713834452
2151183,-0.1309123119339459,0.05145074690238336,0.040445988834942034,-0.08672123007461395,0.27936312937594937,-0.0458787858978074,-0.044496850534877584,0.14606050518762284,-0.1542614985358951,0.00505622336012285,0.3959371593272077,0.2717699504293833,0.589848116765982,-0.030872750843571262,-0.3106017066618724,-0.16082122126708787,0.3323090177504534,0.026215513510635242,0.02908561164123514,0.6181199634483262,0.03193758991410911,-0.5420973290816536,-0.04211933760891865,-0.1385066664264588,-0.2638870643916169,0.012320211451650891,-0.02330347782980233,-0.1954968769703772,0.2278070357007136,-0.3297132383530547,0.14869258437903649,0.00035048890590954045,0.586560532876769,0.2672544580394109,0.038659668785496405,-0.4178371693464729,-0.06050902972165177
2176856,-0.08723142888999309,0.02960279805772135,0.032929262621792216,-0.02949899419871478,0.3187196550279678,-0.007847407189771024,-0.0539378757666869,0.13816983100906127,-0.06088165813187784,-0.029761812736765862,0.401110584418694,0.31294482729650897,0.4810841276759498,0.05421423394106152,-0.3090688073519148,-0.1931202455195964,0.15501227624466798,0.050807963774348035,0.041161453447732456,0.5254760489791848,-0.05727143191785835,-0.5641023373765988,-0.046966451457706976,-0.18982386449504604,-0.14752933962383916,0.016279533181726282,0.019855714066585758,-0.20362911946640366,0.241080544842334,-0.35379710386657903,-0.004964698293158019,0.0009359115512029623,0.5847486586221323,0.3250937783968813,0.046311729823439736,-0.26566123123184976,-0.09230135054263323
