time,BNP.EURHUF - EUR/HUF_x,closeAsk,closeBid,volume
2004-01-19T22:00:00.000000Z,264.59,265.84,263.34,
2004-01-20T22:00:00.000000Z,263.11,264.36,261.86,
2004-01-21T22:00:00.000000Z,263.02,264.27,261.77,
2004-01-22T22:00:00.000000Z,261.36,262.86,259.86,
2004-01-24T22:00:00.000000Z,261.26,262.76,259.76,
2004-01-25T22:00:00.000000Z,262.51,262.76,262.26,
2004-01-26T22:00:00.000000Z,262.85,263.35,262.35,
2004-01-27T22:00:00.000000Z,262.46,262.96,261.96,
2004-01-28T22:00:00.000000Z,264.51,265.01,264.01,
2004-01-29T22:00:00.000000Z,263.0,264.5,261.5,
2004-01-30T22:00:00.000000Z,263.01,264.51,261.51,
2004-02-01T22:00:00.000000Z,265.11,265.61,264.61,
2004-02-02T22:00:00.000000Z,264.8,265.3,264.3,
2004-02-03T22:00:00.000000Z,265.06,265.56,264.56,
2004-02-04T22:00:00.000000Z,266.85,267.35,266.35,
2004-02-05T22:00:00.000000Z,267.99,269.49,266.49,
2004-02-07T22:00:00.000000Z,267.22,268.72,265.72,
2004-02-08T22:00:00.000000Z,265.3,265.8,264.8,
2004-02-09T22:00:00.000000Z,263.34,263.84,262.84,
2004-02-10T22:00:00.000000Z,264.42,264.92,263.92,
2004-02-11T22:00:00.000000Z,263.61,264.11,263.11,
2004-02-12T22:00:00.000000Z,263.41,264.91,261.91,
2004-02-14T22:00:00.000000Z,263.72,265.22,262.22,
2004-02-15T22:00:00.000000Z,264.19,264.69,263.69,
2004-02-16T22:00:00.000000Z,262.74,263.24,262.24,
2004-02-17T22:00:00.000000Z,261.97,262.47,261.47,
2004-02-18T22:00:00.000000Z,260.8,261.3,260.3,
2004-02-19T22:00:00.000000Z,260.99,262.49,259.49,
2004-02-21T22:00:00.000000Z,260.39,261.89,258.89,
2004-02-22T22:00:00.000000Z,259.61,260.11,259.11,
2004-02-23T22:00:00.000000Z,258.24,258.74,257.74,
2004-02-24T22:00:00.000000Z,258.03,258.53,257.53,
2004-02-25T22:00:00.000000Z,256.64,257.14,256.14,
2004-02-26T22:00:00.000000Z,256.57,258.07,255.07,
2004-02-28T22:00:00.000000Z,256.37,257.87,254.87,
2004-02-29T22:00:00.000000Z,256.05,256.55,255.55,
2004-03-01T22:00:00.000000Z,256.22,256.72,255.72,
2004-03-02T22:00:00.000000Z,255.75,256.25,255.25,
2004-03-03T22:00:00.000000Z,255.16,255.66,254.66,
2004-03-04T22:00:00.000000Z,255.2,256.7,253.7,
2004-03-06T22:00:00.000000Z,255.84,257.34,254.34,
2004-03-07T22:00:00.000000Z,254.04,254.54,253.54,
2004-03-08T22:00:00.000000Z,253.99,254.49,253.49,
2004-03-09T22:00:00.000000Z,253.15,253.65,252.65,
2004-03-10T22:00:00.000000Z,252.02,252.52,251.52,
2004-03-11T22:00:00.000000Z,253.6,255.1,252.1,
2004-03-13T22:00:00.000000Z,254.31,255.81,252.81,
2004-03-14T22:00:00.000000Z,253.11,253.36,252.86,
2004-03-15T22:00:00.000000Z,254.77,255.27,254.27,
2004-03-16T22:00:00.000000Z,255.67,256.17,255.17,
2004-03-17T22:00:00.000000Z,254.185,254.81,253.56,
2004-03-18T22:00:00.000000Z,253.63,255.13,252.13,
2004-03-20T22:00:00.000000Z,253.96,255.46,252.46,
2004-03-21T22:00:00.000000Z,252.27,252.77,251.77,
2004-03-22T22:00:00.000000Z,251.43,251.93,250.93,
2004-03-23T22:00:00.000000Z,251.12,251.62,250.62,
2004-03-24T22:00:00.000000Z,251.32,251.82,250.82,
2004-03-25T22:00:00.000000Z,250.55,252.05,249.05,
2004-03-27T22:00:00.000000Z,250.32,251.82,248.82,
2004-03-28T22:00:00.000000Z,250.22,250.72,249.72,
2004-03-29T22:00:00.000000Z,249.54,250.04,249.04,
2004-03-30T22:00:00.000000Z,248.45,248.95,247.95,
2004-03-31T22:00:00.000000Z,249.44,249.94,248.94,
2004-04-01T22:00:00.000000Z,249.0,250.5,247.5,
2004-04-03T22:00:00.000000Z,248.75,250.25,247.25,
2004-04-04T21:00:00.000000Z,247.98,248.48,247.48,
2004-04-05T21:00:00.000000Z,247.27,247.77,246.77,
2004-04-06T21:00:00.000000Z,248.405,249.03,247.78,
2004-04-07T21:00:00.000000Z,248.075,248.7,247.45,
2004-04-08T21:00:00.000000Z,247.69,249.19,246.19,
2004-04-10T21:00:00.000000Z,247.63,249.13,246.13,
2004-04-11T21:00:00.000000Z,248.375,249.0,247.75,
2004-04-12T21:00:00.000000Z,249.7,250.2,249.2,
2004-04-13T21:00:00.000000Z,252.39,252.89,251.89,
2004-04-14T21:00:00.000000Z,252.47,252.97,251.97,
2004-04-15T21:00:00.000000Z,251.97,253.47,250.47,
2004-04-17T21:00:00.000000Z,252.38,253.88,250.88,
2004-04-18T21:00:00.000000Z,251.22,251.72,250.72,
2004-04-19T21:00:00.000000Z,249.81,250.31,249.31,
2004-04-20T21:00:00.000000Z,250.12,250.62,249.62,
2004-04-21T21:00:00.000000Z,251.32,251.82,250.82,
2004-04-22T21:00:00.000000Z,250.42,251.92,248.92,
2004-04-24T21:00:00.000000Z,250.04,251.54,248.54,
2004-04-25T21:00:00.000000Z,249.67,250.17,249.17,
2004-04-26T21:00:00.000000Z,250.97,251.47,250.47,
2004-04-27T21:00:00.000000Z,252.52,253.02,252.02,
2004-04-28T21:00:00.000000Z,252.52,252.77,252.27,
2004-04-29T21:00:00.000000Z,250.88,252.38,249.38,
2004-05-01T21:00:00.000000Z,250.94,252.44,249.44,
2004-05-02T21:00:00.000000Z,251.05,251.55,250.55,
2004-05-03T21:00:00.000000Z,251.32,251.82,250.82,
2004-05-04T21:00:00.000000Z,250.6,251.1,250.1,
2004-05-05T21:00:00.000000Z,252.57,253.07,252.07,
2004-05-06T21:00:00.000000Z,253.4,254.9,251.9,
2004-05-08T21:00:00.000000Z,253.29,254.79,251.79,
2004-05-09T21:00:00.000000Z,255.77,256.27,255.27,
2004-05-10T21:00:00.000000Z,254.49,254.99,253.99,
2004-05-11T21:00:00.000000Z,254.79,255.29,254.29,
2004-05-12T21:00:00.000000Z,256.58,257.08,256.08,
2004-05-13T21:00:00.000000Z,255.24,256.74,253.74,
2004-05-15T21:00:00.000000Z,255.27,256.77,253.77,
2004-05-16T21:00:00.000000Z,254.52,255.02,254.02,
2004-05-17T21:00:00.000000Z,252.99,253.49,252.49,
2004-05-18T21:00:00.000000Z,252.27,252.77,251.77,
2004-05-19T21:00:00.000000Z,253.15,253.65,252.65,
2004-05-20T21:00:00.000000Z,253.66,255.16,252.16,
2004-05-22T21:00:00.000000Z,253.81,255.31,252.31,
2004-05-23T21:00:00.000000Z,251.54,252.04,251.04,
2004-05-24T21:00:00.000000Z,251.67,252.17,251.17,
2004-05-25T21:00:00.000000Z,251.04,251.54,250.54,
2004-05-26T21:00:00.000000Z,251.14,251.64,250.64,
2004-05-27T21:00:00.000000Z,251.24,252.74,249.74,
2004-05-29T21:00:00.000000Z,251.65,253.15,250.15,
2004-05-30T21:00:00.000000Z,251.96,252.71,251.21,
2004-05-31T21:00:00.000000Z,251.47,252.22,250.72,
2004-06-01T21:00:00.000000Z,251.59,252.34,250.84,
2004-06-02T21:00:00.000000Z,251.67,252.17,251.17,
2004-06-03T21:00:00.000000Z,252.87,254.37,251.37,
2004-06-05T21:00:00.000000Z,253.1,254.6,251.6,
2004-06-06T21:00:00.000000Z,250.89,251.39,250.39,
2004-06-07T21:00:00.000000Z,251.53,252.03,251.03,
2004-06-08T21:00:00.000000Z,252.22,252.72,251.72,
2004-06-09T21:00:00.000000Z,252.64,253.14,252.14,
2004-06-10T21:00:00.000000Z,253.34,254.84,251.84,
2004-06-12T21:00:00.000000Z,253.32,254.82,251.82,
2004-06-13T21:00:00.000000Z,252.89,253.39,252.39,
2004-06-14T21:00:00.000000Z,252.74,253.24,252.24,
2004-06-15T21:00:00.000000Z,253.42,253.92,252.92,
2004-06-16T21:00:00.000000Z,254.57,255.07,254.07,
2004-06-17T21:00:00.000000Z,254.51,256.01,253.01,
2004-06-19T21:00:00.000000Z,254.38,255.88,252.88,
2004-06-20T21:00:00.000000Z,255.17,255.67,254.67,
2004-06-21T21:00:00.000000Z,255.19,255.69,254.69,
2004-06-22T21:00:00.000000Z,253.75,254.25,253.25,
2004-06-23T21:00:00.000000Z,253.1,253.6,252.6,
2004-06-24T21:00:00.000000Z,253.24,254.74,251.74,
2004-06-25T21:00:00.000000Z,253.01,254.51,251.51,
2004-06-27T21:00:00.000000Z,253.34,253.59,253.09,
2004-06-28T21:00:00.000000Z,253.07,253.57,252.57,
2004-06-29T21:00:00.000000Z,250.9,251.15,250.65,
2004-06-30T21:00:00.000000Z,250.69,250.94,250.44,
2004-07-01T21:00:00.000000Z,250.57,252.07,249.07,
2004-07-03T21:00:00.000000Z,250.79,252.29,249.29,
2004-07-04T21:00:00.000000Z,250.26,250.76,249.76,
2004-07-05T21:00:00.000000Z,250.32,250.82,249.82,
2004-07-06T21:00:00.000000Z,250.56,251.06,250.06,
2004-07-07T21:00:00.000000Z,250.87,251.37,250.37,
2004-07-08T21:00:00.000000Z,252.02,253.52,250.52,
