time,BNP.USDDKK - USD/DKK_x,closeAsk,closeBid,volume
2004-05-31T21:00:00.000000Z,6.0726,6.0741,6.0711,
2004-06-01T21:00:00.000000Z,6.0879,6.0894,6.0864,
2004-06-02T21:00:00.000000Z,6.081,6.0825,6.0795,
2004-06-03T21:00:00.000000Z,6.0534,6.0554,6.0514,
2004-06-05T21:00:00.000000Z,6.0464,6.0484,6.0444,
2004-06-06T21:00:00.000000Z,6.03365,6.0344,6.0329,
2004-06-07T21:00:00.000000Z,6.06295,6.0642,6.0617,
2004-06-08T21:00:00.000000Z,6.17455,6.1753,6.1738,
2004-06-09T21:00:00.000000Z,6.1420499999999985,6.1438,6.1403,
2004-06-10T21:00:00.000000Z,6.1915,6.1935,6.1895,
2004-06-12T21:00:00.000000Z,6.1917,6.1937,6.1897,
2004-06-13T21:00:00.000000Z,6.1636500000000005,6.1649,6.1624,
2004-06-14T21:00:00.000000Z,6.11145,6.1127,6.1102,
2004-06-15T21:00:00.000000Z,6.18795,6.1892,6.1867,
2004-06-16T21:00:00.000000Z,6.1674500000000005,6.1692,6.1657,
2004-06-17T21:00:00.000000Z,6.1233,6.1253,6.1213,
2004-06-19T21:00:00.000000Z,6.1221999999999985,6.1242,6.1202,
2004-06-20T21:00:00.000000Z,6.13605,6.1368,6.1353,
2004-06-21T21:00:00.000000Z,6.13945,6.1402,6.1387,
2004-06-22T21:00:00.000000Z,6.14615,6.1469,6.1454,
2004-06-23T21:00:00.000000Z,6.10705,6.1078,6.1063,
2004-06-24T21:00:00.000000Z,6.104,6.106,6.102,
2004-06-25T21:00:00.000000Z,6.1061,6.1081,6.1041,
2004-06-27T21:00:00.000000Z,6.09925,6.1,6.0985,
2004-06-28T21:00:00.000000Z,6.15175,6.1525,6.151,
2004-06-29T21:00:00.000000Z,6.0927500000000006,6.0935,6.0920000000000005,
2004-06-30T21:00:00.000000Z,6.11275,6.1135,6.112,
2004-07-01T21:00:00.000000Z,6.0365,6.0385,6.0345,
2004-07-03T21:00:00.000000Z,6.0328,6.0348,6.0308,
2004-07-04T21:00:00.000000Z,6.05115,6.0524,6.0499,
2004-07-05T21:00:00.000000Z,6.0528,6.0543,6.0513,
2004-07-06T21:00:00.000000Z,6.0086499999999985,6.0099,6.0074,
2004-07-07T21:00:00.000000Z,6.00195,6.0027,6.0012,
2004-07-08T21:00:00.000000Z,5.9901,5.9921,5.9881,
2004-07-10T21:00:00.000000Z,5.9886,5.9906,5.9866,
2004-07-11T21:00:00.000000Z,5.99235,5.9936,5.9911,
2004-07-12T21:00:00.000000Z,6.03165,6.0329,6.0304,
2004-07-13T21:00:00.000000Z,6.00565,6.0064,6.0049,
2004-07-14T21:00:00.000000Z,6.01875,6.02,6.0175,
2004-07-15T21:00:00.000000Z,5.9711,5.9731,5.9691,
2004-07-17T21:00:00.000000Z,5.976,5.978,5.974,
2004-07-18T21:00:00.000000Z,5.9758,5.9773,5.9743,
2004-07-19T21:00:00.000000Z,6.03145,6.0327,6.0302,
2004-07-20T21:00:00.000000Z,6.0660500000000015,6.0673,6.0648,
2004-07-21T21:00:00.000000Z,6.06755,6.0683,6.0668,
2004-07-22T21:00:00.000000Z,6.1503,6.1523,6.1483,
2004-07-24T21:00:00.000000Z,6.1432,6.1452,6.1412,
2004-07-25T21:00:00.000000Z,6.12445,6.1257,6.1232,
2004-07-26T21:00:00.000000Z,6.16625,6.1675,6.165,
2004-07-27T21:00:00.000000Z,6.16705,6.1683,6.1658,
2004-07-28T21:00:00.000000Z,6.17265,6.1734,6.1719,
2004-07-29T21:00:00.000000Z,6.1858,6.1878,6.1838,
2004-07-31T21:00:00.000000Z,6.1695,6.1715,6.1675,
2004-08-01T21:00:00.000000Z,6.1823,6.1838,6.1808,
2004-08-02T21:00:00.000000Z,6.1645,6.166,6.1629999999999985,
2004-08-03T21:00:00.000000Z,6.1689,6.1704,6.1674,
2004-08-04T21:00:00.000000Z,6.1678,6.1693,6.1663,
2004-08-05T21:00:00.000000Z,6.0537,6.0557,6.0517,
2004-08-07T21:00:00.000000Z,6.0491,6.0511,6.0471,
2004-08-08T21:00:00.000000Z,6.0578,6.0593,6.0563,
2004-08-09T21:00:00.000000Z,6.0763,6.0778,6.0748,
2004-08-10T21:00:00.000000Z,6.0866,6.0881,6.0851,
2004-08-11T21:00:00.000000Z,6.0717,6.0732,6.0702,
2004-08-12T21:00:00.000000Z,6.0109,6.0129,6.0089,
2004-08-14T21:00:00.000000Z,6.0118,6.0138,6.0098,
2004-08-15T21:00:00.000000Z,6.0168,6.0183,6.0153,
2004-08-16T21:00:00.000000Z,6.01915,6.0204,6.0179,
2004-08-17T21:00:00.000000Z,6.02825,6.029,6.0275,
2004-08-18T21:00:00.000000Z,6.01525,6.016,6.0145,
2004-08-19T21:00:00.000000Z,6.0378,6.0398,6.0358,
2004-08-21T21:00:00.000000Z,6.0397,6.0417,6.0377,
2004-08-22T21:00:00.000000Z,6.1253,6.1268,6.1238,
2004-08-23T21:00:00.000000Z,6.1557,6.1572,6.1542,
2004-08-24T21:00:00.000000Z,6.1544,6.1559,6.1529,
2004-08-25T21:00:00.000000Z,6.1444,6.1454,6.1434,
2004-08-26T21:00:00.000000Z,6.1904,6.1924,6.1884,
2004-08-28T21:00:00.000000Z,6.1881,6.1901,6.1861,
2004-08-29T21:00:00.000000Z,6.17205,6.1728,6.1713,
