time,BNP.USDSGD - USD/SGD_x,closeAsk,closeBid,volume
2002-05-07T21:00:00.000000Z,1.8101,1.8106,1.8096,
2002-05-08T21:00:00.000000Z,1.809,1.8095,1.8085,
2002-05-09T21:00:00.000000Z,1.80295,1.8042,1.8017,
2002-05-10T21:00:00.000000Z,1.80295,1.8042,1.8017,
2002-05-12T21:00:00.000000Z,1.8019999999999998,1.8025,1.8015,
2002-05-13T21:00:00.000000Z,1.8085,1.809,1.808,
2002-05-14T21:00:00.000000Z,1.8033,1.8038,1.8028,
2002-05-15T21:00:00.000000Z,1.8057,1.8062,1.8052,
2002-05-18T21:00:00.000000Z,1.7965,1.797,1.796,
2002-05-19T21:00:00.000000Z,1.7896999999999998,1.7902,1.7892,
2002-05-20T21:00:00.000000Z,1.7907,1.7912,1.7902,
2002-05-21T21:00:00.000000Z,1.7934,1.7939,1.7929,
2002-05-22T21:00:00.000000Z,1.8014,1.8019,1.8009,
2002-05-23T21:00:00.000000Z,1.7984,1.7989,1.7979,
2002-05-26T21:00:00.000000Z,1.795,1.7955,1.7945,
2002-05-27T21:00:00.000000Z,1.7938,1.7943,1.7933,
2002-05-28T21:00:00.000000Z,1.7932,1.7937,1.7927,
2002-05-29T21:00:00.000000Z,1.7856,1.7861,1.7851,
2002-05-30T21:00:00.000000Z,1.7887,1.7892,1.7882,
2002-06-02T21:00:00.000000Z,1.7853,1.7858,1.7848,
2002-06-03T21:00:00.000000Z,1.7871,1.7876,1.7866,
2002-06-04T21:00:00.000000Z,1.7962,1.7967,1.7957,
2002-06-05T21:00:00.000000Z,1.7957,1.7962,1.7952,
2002-06-06T21:00:00.000000Z,1.7916,1.7921,1.7911,
2002-06-09T21:00:00.000000Z,1.7911,1.7915,1.7907,
2002-06-10T21:00:00.000000Z,1.7909,1.7913,1.7905,
2002-06-11T21:00:00.000000Z,1.7859,1.7863,1.7855,
2002-06-12T21:00:00.000000Z,1.7866,1.787,1.7862,
2002-06-13T21:00:00.000000Z,1.7886,1.7891,1.7881,
2002-06-15T21:00:00.000000Z,1.7886,1.7891,1.7881,
2002-06-16T21:00:00.000000Z,1.7891,1.7896,1.7886,
2002-06-17T21:00:00.000000Z,1.793,1.7935,1.7925,
2002-06-18T21:00:00.000000Z,1.785,1.7855,1.7845,
2002-06-19T21:00:00.000000Z,1.7784,1.7789,1.7779,
2002-06-20T21:00:00.000000Z,1.7723,1.7728,1.7718,
2002-06-21T21:00:00.000000Z,1.7723,1.7728,1.7718,
2002-06-23T21:00:00.000000Z,1.7686,1.7691,1.7681,
2002-06-24T21:00:00.000000Z,1.7689,1.7694,1.7684,
2002-06-25T21:00:00.000000Z,1.7679,1.7684,1.7674,
